filename,x,y,cluster
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 234,236,238 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_236-Camara_Amacayacu-5_crop0.npy",30.055548,38.161366,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 234,236,238 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_236-Camara_Amacayacu-6_crop0.npy",36.248787,30.933144,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_236-Camara_Amacayacu-2_crop0.npy",35.401066,30.91233,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-5_crop0.npy",7.354696,-0.7970388,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-6_crop0.npy",20.892616,-8.358618,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-7_crop0.npy",8.8365135,-1.309529,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-8_crop0.npy",9.871109,0.15078007,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-8_crop1.npy",22.947794,-8.933683,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-9_crop0.npy",8.138142,0.5790107,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 236,238,239,240,241 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-9_crop1.npy",35.677715,29.740063,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-2_crop0.npy",7.354696,-0.7970388,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-3_crop0.npy",20.892082,-8.359338,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_239-Camara_Amacayacu-4_crop0.npy",8.8365135,-1.309529,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-5_crop0.npy",9.871109,0.15078007,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-5_crop1.npy",22.947994,-8.933626,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-6_crop0.npy",8.138142,0.5790107,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_241-Camara_Amacayacu-6_crop1.npy",35.677715,29.740063,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_242-Camara_Amacayacu-8_crop0.npy",-61.04417,4.9841876,3
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 242,243 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_242-Camara_Amacayacu-9_crop0.npy",-29.07996,24.336351,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-0_crop0.npy",-23.857327,11.576137,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-0_crop0.npy",-28.218771,23.995516,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-1_crop0.npy",-12.824436,-6.50315,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-1_crop0.npy",-23.857279,11.57618,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-2_crop0.npy",-6.7741647,-8.0903425,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-2_crop0.npy",-12.824519,-6.5031114,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-3_crop0.npy",3.6565669,-9.938365,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-3_crop0.npy",-6.7741647,-8.0903425,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-3_crop1.npy",5.4290695,-9.206618,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-4_crop0.npy",5.0289893,-12.596736,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-4_crop0.npy",3.6565669,-9.938365,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-5_crop0.npy",2.5450485,-13.164389,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-5_crop0.npy",5.028572,-12.5970335,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-6_crop0.npy",8.907949,-15.2254715,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-6_crop0.npy",2.5450485,-13.164389,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-7_crop0.npy",10.5127125,-13.138472,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-7_crop0.npy",8.907949,-15.2254715,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-8_crop0.npy",15.020333,-34.996033,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-8_crop0.npy",10.512456,-13.138508,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-4_crop1.npy",5.4290695,-9.206618,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 245,247 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_245-Camara_Amacayacu-9_crop0.npy",15.019815,-34.99636,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 251,252 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_251-Camara_Amacayacu-3_crop0.npy",16.355385,-36.149532,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252 at , Serial_ T010987 Prueba Amacayacu 2024\features_2\2024-December-04_251-Camara_Amacayacu-3_crop0.npy",16.355385,-36.149532,2
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_252-Camara_Amacayacu-1_crop0.npy",18.894075,-15.2707,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_252-Camara_Amacayacu-2_crop0.npy",20.525646,-14.693976,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_252-Camara_Amacayacu-2_crop1.npy",19.81548,-14.398362,1
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_252-Camara_Amacayacu-3_crop0.npy",17.959536,-13.699185,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-4_crop0.npy",16.30035,-14.401009,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-5_crop0.npy",15.446708,-13.571736,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-6_crop0.npy",23.114191,49.532505,6
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-6_crop1.npy",-5.2701283,-1.4058527,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-7_crop0.npy",0.5163585,0.3547349,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-7_crop1.npy",-0.05782564,0.3588339,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-8_crop0.npy",-5.4404874,-0.6495405,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-9_crop0.npy",-3.6956139,0.79398656,8
